Username; Identifier;password;Recovery_code;First_name;Last_name;Department;Location;Salary
booker12;9012;12se74;rb9012;Rachel;Booker;Sales;Manchester;1232
grey07;2070;04ap67;lg2070;Laura;Grey;Depot;London;3242
johnson81;4081;30no86;cj4081;Craig;Johnson;Depot;London;1122
jenkins46;9346;14ju73;mj9346;Mary;Jenkins;Engineering;Manchester;5232
smith79;5079;09ja61;js5079;Jamie;Smith;Engineering;Manchester;3242
john79;5075;09ja31;js5029;Jamieson;John;Engineering;Brooklyn;3434
Madison79;5039;09ja21;js2079;Jamie;Madison;Sales;Manchester;212
Smith79;5339;09ja12;js2090;Madison;Smith;Engineering;Brooklyn;124
Frank79;5333;09je12;jp2090;Joe;Frank;Sales;Brooklyn;2434
James79;5233;09pe12;jy2090;Joel;James;Engineering;Manchester;234
sammy79;3233;02pe12;jy20210;Joel;sammy;Engineering;Manchester;1234
